track,artist,release_date,repeated
"13 Pieces, Op. 76: No. 3 Carillon",Jean Sibelius,2003-06-11,2
Shabeh Eshgh,Hayedeh,2008-07-19,2
The Theory of Everything,Jóhann Jóhannsson,2014-11-04,2
Rue des trois frères,Fabrizio Paterlini,2010-10-29,2
Camping,Bluey,2021-01-22,2
timelapse,Øneheart,2023-03-17,2
wishes,Sto Nii,2023-01-27,2
Halfaouine,Anouar Brahem,2006-02-24,2
Wind Song,Ludovico Einaudi,2023-03-16,2
Chiar di Luna,On Piano,2020-09-18,2
Van Gogh,Pony Bradshaw,2019-06-21,2
Gordos,Pascal Gaigne,2009,2
"Variations on a Rococo Theme, Op. 33, TH 57: Var: VI. Andante",Pyotr Ilyich Tchaikovsky,2013-09-23,2
Trinité,Elena Miguel,2022-04-07,2
Idyllica,Oberohn,2023-02-16,2
Holm Sound,Erland Cooper,2020-10-06,2
"When Our Wings Are Cut, Can We Still Fly?",Kronos Quartet,2003-11-25,2
Raindrop Waltz No. 1 in B Minor,Joshua Kyan Aalampour,2020-11-01,2
"Traditional: Ajde Jano (Arr. by Jerzy Bawol, Nigel Kennedy, Tomasz Kukurba and Tomasz Lato)",Traditional,2003-06-02,2
I Wanted to Leave,SYML,2022-12-23,2
Idea 10,Gibran Alcocer,2022-07-09,2
3 Gymnopédies: No. 1 Lent et douloureux,Erik Satie,2002-01-01,2
Bells,The Unlikely Candidates,2018-10-12,2
Lone Sojourner,Yu-Peng Chen,2020-06-19,2
Plus tôt (String Quartet Version) - Spotify Singles,Alexandra Streliski,2022-03-22,2
The Last Conversation,LazyLofi Boy,2022-05-20,2
Astrakan Café - 1,Anouar Brahem,2000-09-18,2
Flower Duet,Léo Delibes,2004-09-28,2
Pigalle,DJ Snake,2016-08-05,2
"6 Chants polonais, S. 480: No. 2, Frühling (Wiosna, Spring) [After Chopin's Op. 74]",Franz Liszt,1997-11-03,2
For 4,Hideyuki Hashimoto,2022-08-26,2
The Mistral Noir,Daniel Herskedal,2015-03-30,2
The Hourglass,Ben Crosland,2020-06-19,2
"Le Carnaval des Animaux, R. 125: 13. Le Cygne",Camille Saint-Saëns,1980-01-01,2
Under Trees,Bernward Koch,2009-05-19,2
"6 Pezzi, P. 44: No. 6. Internmezzo-serenata",Ottorino Respighi,1997-12-12,2
the lakes - bonus track,Taylor Swift,2020-08-18,2
Flower Day,Heart Piano,2017-05-24,2
Ballerina,Yehezkel Raz,2019-12-10,2
La melancolie (arr. H. Kraggerud): La Melancolie (arr. H. Kraggerud),Henning Kraggerud,1999-11-29,2
dream river.,Woodsman,2022-10-21,2
Return to Versailles,Joshua Kyan Aalampour,2022-01-29,2
Perpendicular,Sumsar,2023-01-13,2
"Rêverie, L. 68: Rêverie",Claude Debussy,2012-01-01,2
Laetitia,paris91,2022-12-23,2
Saudade (When We Are Born),Ólafur Arnalds,2021-06-11,1
Cheshmanat Arezoost,Ehaam,2018-07-15,1
Sleeping Lotus,Joep Beving,2015-03-01,1
"Running By The Roads, Running By The Fields (Solo Piano)",Library Tapes,2021-02-19,1
"Satie: 6 Gnossiennes: No. 1, Lent",Erik Satie,2022-03-25,1
70,Gdaal,2016-09-26,1
Singularities,Constance Lucas,2022-07-29,1
Sirtaki (Zorba),Orchestra Mesogios,1974-12-12,1
"Schoenberg: Verklärte Nacht, Op. 4: I. Grave",Arnold Schoenberg,1995-04-27,1
"Sibelius: 5 Pieces, Op. 75: No. 5, The Spruce",Jean Sibelius,2014-03-14,1
Satie / Orch. Ducros: Gymnopédie No. 1,Erik Satie,2020-11-06,1
Baraye,Shervin Hajipour,2022-09-27,1
“latom” (looking at the ordinary moon),ordinary__oak,2022-02-17,1
Silence,Marshmello,2017-08-11,1
smile more,sammy rash,2022-11-18,1
"So This Is Love - From ""Cinderella""",Ilene Woods,1995-01-01,1
